coin,Brain,human_readable_time,timeframe,win_rate_percentage_per_day,number_of_trades_per_day,average_percentage_per_trade,cumulative_percentage_per_day,win_rate_percentage_per_year_or_two_or_three
LTC,bbrsi,2019-05-10 02:00:00,5m,,1,0.18,0.18,
LTC,bbrsi,2019-05-11 02:00:00,5m,,2,2.73,5.46,
LTC,bbrsi,2019-05-12 02:00:00,5m,33.3,3,-1.73,-5.19,
LTC,bbrsi,2019-05-13 02:00:00,5m,,4,0.75,2.98,
LTC,bbrsi,2019-05-14 02:00:00,5m,,2,0.79,1.58,
LTC,bbrsi,2019-05-15 02:00:00,5m,50.0,4,-1.06,-4.23,
LTC,bbrsi,2019-05-16 12:00:00,5m,66.7,6,-0.26,-1.58,
LTC,bbrsi,2019-05-17 12:00:00,5m,75.0,4,0.20,0.80,
LTC,bbrsi,2019-05-18 12:00:00,5m,,3,0.51,1.54,
LTC,bbrsi,2019-05-19 12:00:00,5m,33.3,3,-1.21,-3.64,
LTC,bbrsi,2019-05-20 12:00:00,5m,66.7,3,-0.62,-1.87,
LTC,bbrsi,2019-05-21 12:00:00,5m,50.0,2,-0.18,-0.36,
LTC,bbrsi,2019-05-22 12:00:00,5m,33.3,3,-2.39,-7.17,
LTC,bbrsi,2019-05-23 12:00:00,5m,,3,0.44,1.33,
LTC,bbrsi,2019-05-24 12:00:00,5m,,2,0.83,1.67,
LTC,bbrsi,2019-05-25 12:00:00,5m,,2,0.57,1.15,
LTC,bbrsi,2019-05-26 12:00:00,5m,,2,0.79,1.58,
LTC,bbrsi,2019-05-27 12:00:00,5m,66.7,3,-0.01,-0.02,
LTC,bbrsi,2019-05-28 12:00:00,5m,66.7,3,-0.58,-1.75,
LTC,bbrsi,2019-05-29 12:00:00,5m,66.7,3,0.15,0.46,
LTC,bbrsi,2019-05-30 12:00:00,5m,66.7,6,-0.51,-3.04,
LTC,bbrsi,2019-05-31 12:00:00,5m,,1,0.21,0.21,
LTC,bbrsi,2019-06-01 12:00:00,5m,,4,0.51,2.04,
LTC,bbrsi,2019-06-02 12:00:00,5m,66.7,3,-0.74,-2.21,
LTC,bbrsi,2019-06-03 12:00:00,5m,75.0,4,-0.61,-2.44,
LTC,bbrsi,2019-06-04 12:00:00,5m,80.0,5,0.01,0.05,
LTC,bbrsi,2019-06-05 12:00:00,5m,,2,0.63,1.25,
LTC,bbrsi,2019-06-06 12:00:00,5m,66.7,3,0.37,1.12,
LTC,bbrsi,2019-06-07 12:00:00,5m,,2,0.58,1.16,
LTC,bbrsi,2019-06-08 13:00:00,5m,66.7,3,0.12,0.36,
LTC,bbrsi,2019-06-09 13:00:00,5m,50.0,4,-0.70,-2.78,
LTC,bbrsi,2019-06-10 13:00:00,5m,,1,0.32,0.32,
LTC,bbrsi,2019-06-11 13:00:00,5m,,2,0.59,1.17,
LTC,bbrsi,2019-06-12 13:00:00,5m,75.0,4,-0.29,-1.16,
LTC,bbrsi,2019-06-13 13:00:00,5m,60.0,5,-0.96,-4.81,
LTC,bbrsi,2019-06-14 13:00:00,5m,66.7,3,-0.99,-2.96,
LTC,bbrsi,2019-06-15 13:00:00,5m,75.0,4,-0.11,-0.44,
LTC,bbrsi,2019-06-16 13:00:00,5m,,5,0.44,2.21,
LTC,bbrsi,2019-06-17 13:00:00,5m,66.7,3,-0.77,-2.30,
LTC,bbrsi,2019-06-18 13:00:00,5m,,5,0.66,3.28,
LTC,bbrsi,2019-06-19 13:00:00,5m,,3,0.46,1.39,
LTC,bbrsi,2019-06-20 13:00:00,5m,,3,0.37,1.12,
LTC,bbrsi,2019-06-21 13:00:00,5m,80.0,5,0.34,1.70,
LTC,bbrsi,2019-06-22 13:00:00,5m,75.0,4,0.02,0.09,
